contract_ticker,etf,lag_minutes,direction,n_obs,coef,t_stat,p_value,r_squared,r2_daily_screen,date_start,date_end,contract_title
KXECKH276,VFH,-4,etf_leads,30,0.00929875942900929,0.17350702892675757,0.8635011900610255,0.0010740127238523245,0.8816564277734555,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-3,etf_leads,31,0.006384396458724727,0.12151926944874632,0.9041178851461026,0.0005089454236021362,0.8816564277734555,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-2,etf_leads,32,0.000341848198934129,0.006514434762838568,0.9948453975565302,1.4145933417974987e-06,0.8816564277734555,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,-1,etf_leads,33,0.004417265341201474,0.08219829507020127,0.9350174815944491,0.00021790604571736427,0.8816564277734555,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,0,contemporaneous,34,-0.2097616707010343,-5.535959404950867,4.175912507022262e-06,0.4892001470016727,0.8816564277734555,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,1,kalshi_leads,33,-0.00011934835316238564,-0.002220424104599327,0.9982425869045719,1.5904136851929707e-07,0.8816564277734555,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,2,kalshi_leads,32,0.043351926150153555,0.8037463121179846,0.42786652996918817,0.021079682920315812,0.8816564277734555,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,3,kalshi_leads,31,-0.059381218792279374,-1.094647936716416,0.28267964220866965,0.03967958217640555,0.8816564277734555,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,4,kalshi_leads,30,0.08544954832954453,1.5893367385622432,0.12321366546522843,0.08274886952308858,0.8816564277734555,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECDJT316,VFH,-5,etf_leads,32,-0.04687163249285833,-1.0715825283305553,0.29245288216942084,0.03686523875462133,0.7907331233858175,2024-11-04,2024-12-12,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,-4,etf_leads,33,0.06330985244598593,1.4971245877881698,0.1444743748618199,0.06742746222901863,0.7907331233858175,2024-11-04,2024-12-12,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,-3,etf_leads,34,-0.008118119629131474,-0.1824534661167213,0.8563778577871561,0.001039208525238644,0.7907331233858175,2024-11-04,2024-12-12,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,-2,etf_leads,35,0.016565157093690316,0.407842544639442,0.686023293981926,0.0050151920163523656,0.7907331233858175,2024-11-04,2024-12-12,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,-1,etf_leads,36,0.007117485918247631,0.18338371325170547,0.8555862077483269,0.0009881281160660782,0.7907331233858175,2024-11-04,2024-12-12,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,0,contemporaneous,37,-0.10884140880398424,-3.2303587734370796,0.0026906678144977504,0.22967245034193606,0.7907331233858175,2024-11-04,2024-12-12,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,1,kalshi_leads,36,-0.001187919750920197,-0.030481789735569226,0.9758610477194293,2.7326885735146078e-05,0.7907331233858175,2024-11-04,2024-12-12,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,2,kalshi_leads,35,0.00607102651028354,0.15299420890228607,0.8793345302668181,0.0007088071741373492,0.7907331233858175,2024-11-04,2024-12-12,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,3,kalshi_leads,34,0.02599171414206142,0.6495321181152658,0.5206299777094914,0.013012564868874255,0.7907331233858175,2024-11-04,2024-12-12,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,4,kalshi_leads,33,0.026034086932812298,0.641138173064938,0.526144911651135,0.013086415456206257,0.7907331233858175,2024-11-04,2024-12-12,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECDJT316,VFH,5,kalshi_leads,32,-0.03250346602367453,-0.7912838740336336,0.43499013070815473,0.020444312286414634,0.7907331233858175,2024-11-04,2024-12-12,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?"
KXECKH276,VIS,-4,etf_leads,30,0.005500503264014501,0.1589146902553792,0.8748767867508201,0.0009011115077919296,0.7648119234989674,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,-3,etf_leads,31,0.00929454493726729,0.2738727477191275,0.7861237181823073,0.002579751186151946,0.7648119234989674,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,-2,etf_leads,32,-0.001109105976384043,-0.03304970385559096,0.9738538654361641,3.6408105233087795e-05,0.7648119234989674,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,-1,etf_leads,33,0.0006865727030525583,0.019270608904131025,0.9847487308705567,1.1979094162173354e-05,0.7648119234989674,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,0,contemporaneous,34,-0.13538780052765428,-4.776527011108435,3.8005941210205836e-05,0.41622042801696946,0.7648119234989674,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,1,kalshi_leads,33,-0.005614721142794388,-0.15109660066021557,0.8808784790602845,0.0007359155369320858,0.7648119234989674,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,2,kalshi_leads,32,0.01740492313796529,0.4634209161411547,0.6464073625215765,0.007107749755818404,0.7648119234989674,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,3,kalshi_leads,31,0.06060958660088264,1.6550205246613143,0.10870457419660573,0.08630029038582798,0.7648119234989674,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,4,kalshi_leads,30,0.017730221522925565,0.466802767078273,0.6442529598850157,0.007722218382833379,0.7648119234989674,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
RATECUT-24SEP18,VCR,-5,etf_leads,32,0.3164743926492137,1.38906231781992,0.17503972237611307,0.060429836920285585,0.6822090043500123,2024-09-04,2024-09-18,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-4,etf_leads,33,0.14045455991109349,0.6322294184641616,0.5318726051245426,0.012729862351397614,0.6822090043500123,2024-09-04,2024-09-18,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-3,etf_leads,34,-0.0605162821950344,-0.28546892006116326,0.7771246078299533,0.002540171854844897,0.6822090043500123,2024-09-04,2024-09-18,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-2,etf_leads,35,-0.20031339475315035,-0.9996603615632035,0.32474906088420785,0.029392376489757233,0.6822090043500123,2024-09-04,2024-09-18,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,-1,etf_leads,36,-0.016803592535817934,-0.08382958636011222,0.9336835657036029,0.0002066455108453713,0.6822090043500123,2024-09-04,2024-09-18,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,0,contemporaneous,37,0.29248999175936546,1.508476524426084,0.1404074514015519,0.061045494702159475,0.6822090043500123,2024-09-04,2024-09-18,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,1,kalshi_leads,36,-0.3093452416982505,-1.549690464107497,0.1304751014308118,0.06597359615224518,0.6822090043500123,2024-09-04,2024-09-18,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,2,kalshi_leads,35,0.046682825566314076,0.21627274113237446,0.8301065264241649,0.0014153847119992014,0.6822090043500123,2024-09-04,2024-09-18,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,3,kalshi_leads,34,-0.2643069493226586,-1.196083528365551,0.240451670819071,0.042793582238925265,0.6822090043500123,2024-09-04,2024-09-18,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,4,kalshi_leads,33,0.2238158994260441,1.1128209506595887,0.2743404888128386,0.03841293620741171,0.6822090043500123,2024-09-04,2024-09-18,"Will the Federal Reserve cut rates before September 19, 2024?"
RATECUT-24SEP18,VCR,5,kalshi_leads,32,0.10170806205772075,0.4913411590142742,0.6267607636644583,0.0079829639414849,0.6822090043500123,2024-09-04,2024-09-18,"Will the Federal Reserve cut rates before September 19, 2024?"
KXECKH276,VCR,-4,etf_leads,30,0.007404870866581729,0.294593105496375,0.7704778599381559,0.003089890761929115,0.651769043544155,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,-3,etf_leads,31,0.006759921667528238,0.27206962900623816,0.7874961928027818,0.002545980164884165,0.651769043544155,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,-2,etf_leads,32,0.0030673001624110154,0.11566433057592485,0.9086893390081598,0.0004457424706332258,0.651769043544155,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,-1,etf_leads,33,0.0021433389466816834,0.07852401904658263,0.9379159089363261,0.00019886436662108764,0.651769043544155,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,0,contemporaneous,34,-0.09132838123890114,-4.292193798889012,0.00015309457995214622,0.3653680672953006,0.651769043544155,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,1,kalshi_leads,33,-0.009189776732683567,-0.35158001554924323,0.7275318265200302,0.0039715352191401765,0.651769043544155,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,2,kalshi_leads,32,-0.03861538719492845,-1.5208425055087096,0.13877045069188254,0.07158000346172833,0.651769043544155,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,3,kalshi_leads,31,-0.028228762390642093,-1.074873799156028,0.2912933203666284,0.03831338528524131,0.651769043544155,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,4,kalshi_leads,30,0.049812818546099175,2.0418465522209805,0.05068913506820703,0.12960053290790696,0.651769043544155,2024-11-04,2024-11-26,"Will Harris win 276-262 - PA, NV, MI, WI?"
FEDDECISION-24SEP-C25,VDC,-5,etf_leads,601,-7.216385763020181e-06,-0.005729656189842805,0.9954303284482142,5.4806274185636994e-08,0.6325467130894744,2024-09-04,2024-09-18,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,-4,etf_leads,602,-0.0013575677320701984,-1.0794787285859113,0.28080811228913205,0.0019383593418246248,0.6325467130894744,2024-09-04,2024-09-18,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
